ntoskrnlVersion,PspCreateProcessNotifyRoutineOffset,PspCreateThreadNotifyRoutineOffset,PspLoadImageNotifyRoutineOffset,_PS_PROTECTIONOffset,EtwThreatIntProvRegHandleOffset,EtwRegEntry_GuidEntryOffset,EtwGuidEntry_ProviderEnableInfoOffset,PsProcessType,PsThreadType,CallbackList
7880a73ca424fecfcdcae9d3587b7b4be2c164395e499a7328935393fca54466,4d6930,4d6b30,4d6730,6ca,407410,20,60,53f2d0,53f2f8,c8
bb4b577e1d421ceb46815d284e7c17460e26707a5a56d913519c394a184434c6,4d6b30,4d6730,4d6930,6ca,407480,20,60,53f2d0,53f2f8,c8
189bbab8021614109c76acf8582236fbf52d9530b0c49b643e82cb3bed65ca40,4d6880,4d6a80,4d6680,6ca,407450,20,60,53f2d0,53f2f8,c8
2c731f2a2257aeaa00444ff8268d75d552d3afddf8a9c8336e0ebb6c3cf8230f,4daaf0,4dacf0,4da8f0,6ca,40b078,20,50,5432d0,5432f8,c8
48ffe97fbac8b13cbc0f8412e06feb93c162906cbd324938fe3b7a6a7fc08633,4d6b30,4d6730,4d6930,6ca,407480,20,60,53f2d0,53f2f8,c8
15e2ac5967294bc45dafddc1103dbd2c7aad9e1fdf4f83f26d247940fb642590,4daaf0,4dacf0,4da8f0,6ca,40b078,20,50,5432d0,5432f8,c8
589ccbb1d24214df47b01eebf20ed944d2b5f03d1074c8a5694f9dc5c7a7b039,4d6840,4d6a40,4d6640,6ca,407430,20,60,53f2d0,53f2f8,c8
8adc4061faa4a3d7f9ba3fcef45b97fa7c2c7f570f2358daa4d7b5ef2167579d,4d6b40,4d6740,4d6940,6ca,407498,20,60,53f2d0,53f2f8,c8
2a063e3b227ae7d0d8891df985bf73400a80f9e3b57a84814f4af002eaff5bfb,4d6b40,4d6740,4d6940,6ca,407498,20,60,53f2d0,53f2f8,c8
842f94031c0e4e2f4d568a13d22c82a238384195e9a294e7587ef2925f8d83ea,4d6a80,4d6680,4d6880,6ca,407458,20,60,53f2d0,53f2f8,c8
6bad21f62ca1a3f48376b959525c5b6814b28a33613fa436a02d8784ff4788a5,4d6940,4d6b40,4d6740,6ca,407450,20,60,53f2d0,53f2f8,c8
72092c8fdb3dba8134fd3bbb51a55b8f949d6292c88d1fb0de04870b1c99d967,4d6940,4d6b40,4d6740,6ca,407450,20,60,53f2d0,53f2f8,c8
78a03a33faaa4c58a40db436fa1fab8815d2303bfc547e3dd3e8c0c9dbc04d16,4d6900,4d6b00,4d6700,6ca,407430,20,60,53f2d0,53f2f8,c8
0cdc74db15c370a53335c0331b49103358b8ea9613db2f29d544230ea2622a06,4d6880,4d6a80,4d6680,6ca,407480,20,60,53f2d0,53f2f8,c8
3f817ab90ea7edf2a50959de00383553e4828d93161ed3df1c472d195ff04e20,4d8a00,4d8600,4d8800,6ca,409418,20,60,5412d0,5412f8,c8
944ec53f47a739e8bd9ebfd86124174b5c993604ff46c4ee612a8ec258b7938f,4d8b00,4d8700,4d8900,6ca,409440,20,60,5412d0,5412f8,c8
b153885e03b98b1f50313bea0189e393f24d4b4516ceb1bad2a57db2daebd381,4d8a00,4d8600,4d8800,6ca,409418,20,60,5412d0,5412f8,c8
db60233b7a7c27e9f9cf414b8c18fb31102e2b33c35fd6a8f4d827d197231fc2,4d8b00,4d8700,4d8900,6ca,409440,20,60,5412d0,5412f8,c8
f73833b2a138b2d9dff3af97f4d3871fb0969200b63e3f70537303eff60ad68b,4dabb0,4da7b0,4da9b0,6ca,40afb8,20,50,5432d0,5432f8,c8
fb8cd14b1428f1977e5f3e02b21f08effe0264988aae12a984c2a8117c3a53ed,4d7980,4d7b80,4d7780,6ca,408458,20,60,53f2d0,53f2f8,c8
d396d792cca27187f2a35e1ddbda82e85cc506476635da8e96f79a68d9754fd1,4d89c0,4d8bc0,4d87c0,6ca,409438,20,60,5402d0,5402f8,c8
dc3e3ad9cb1bc768323e27752738f77bbbad2aa6b1277f56059dc41c611df0b5,4dad70,4da970,4dab70,6ca,40b718,20,50,5432d0,5432f8,c8
0a6a97ce1b5463bc7e3e039bc33137ff2391ef9fdbecbe5508ac82585cc9ca2b,4dabf0,4da7f0,4da9f0,6ca,40aff8,20,50,5432d0,5432f8,c8
49c71e10ade8b6c2442ef422ab544c3559a339c0f382354e2e1399a756c77a5b,4d6b30,4d6730,4d6930,6ca,407480,20,60,53f2d0,53f2f8,c8
4a6c3cc9b076e100cb2c329b44ca6ae8060542689ce77f142bae7d026d1d59fb,4daaf0,4dacf0,4da8f0,6ca,40b730,20,50,5432d0,5432f8,c8
122bcef1935be7ce75910545e92bb5de49963a96c40f2164daebfe5750f3570e,4dad70,4da970,4dab70,6ca,40b718,20,50,5432d0,5432f8,c8
f7d80de3feacd6a97d2644714965a8ec4e0f79788e0868c85b3ad8806ad061e8,4dad70,4da970,4dab70,6ca,40b718,20,50,5432d0,5432f8,c8
3e1a8f3aa9f6e437c3e514485de13a5cb36e45071bba1bfbdee597a608116e60,4da9b0,4dabb0,4da7b0,6ca,40b598,20,50,5432d0,5432f8,c8
33a80c7269b60ea89ab5fe51f931ddfb12b422071a430b2adfdd9f0f42449d22,4da9b0,4dabb0,4da7b0,6ca,40b598,20,50,5432d0,5432f8,c8
d58678644dd4c5dcbef6f34befd76e04bb5d903f9f79eeaf3963d481f7786200,4d8a00,4d8600,4d8800,6ca,409418,20,60,5412d0,5412f8,c8
cd564ccdb1d920cbbb4715e85386fad6f9d670a31f5a78694be5ffb27f108d35,4da9b0,4dabb0,4da7b0,6ca,40b598,20,50,5432d0,5432f8,c8
3d40c4d8bcc60d6c28e952d4443c6314da9da5b148893dffee8a23dbf04ac90f,45c4f0,45c0f0,45c2f0,6ca,40f098,20,50,4c52d0,4c52f8,c8
2d293de6fa934952e4efefe60eb857c7a0df6bb314c743efc8d13187b2d8f09f,4dac70,4da870,4daa70,6ca,40b610,20,50,5432d0,5432f8,c8
3efb409953ab312aaa72b8be1d21c19ff73101c969dc82b8c6d7c97d4362b704,4dabf0,4da7f0,4da9f0,6ca,40b5f0,20,50,5432d0,5432f8,c8
db94f8fe7f01297284e4f4417889c215991da69315ad3874bc581b11cf243508,4dac30,4da830,4daa30,6ca,40b610,20,50,5432d0,5432f8,c8
2c5423ae810e58d725a98cb83193cb9180fecb7509367eaaa08f2fc2d89f551d,4dac70,4da870,4daa70,6ca,40b610,20,50,5432d0,5432f8,c8
af4242878d6d3ca96752aca9b75f1419271382a64bc49999f55689f4718280ce,4daa30,4dac30,4da830,6ca,40b658,20,50,5432d0,5432f8,c8
6d93f48654870abfd0624f7f4b4a02037369fe8e32cab0619a58bc156780c793,4da9b0,4dabb0,4da7b0,6ca,40b598,20,50,5432d0,5432f8,c8
5457613b8eb7763048e4b06065527236ca0412b8e14d1b50e93b4299a88119cc,4dac70,4da870,4daa70,6ca,40b630,20,50,5432d0,5432f8,c8
045b8a5073b8d3e201c2b7b373116a1bebe8f8a34309a6e9fc1765dff9662117,4d8c70,4d8870,4d8a70,6ca,409610,20,50,5412d0,5412f8,c8
7b05e74446d3be3dcf99dc2c1cce07cf54ddce3c1e2b217dcd75549be009c66a,4dacb0,4da8b0,4daab0,6ca,40b6c0,20,50,5432d0,5432f8,c8
18c893161281e9e516597b3567913b5df9a5b4bb9e646b7ea359d057217b915a,4d8b70,4d8d70,4d8970,6ca,409698,20,50,5412d0,5412f8,c8
53acadfdf4ec1bc0621fbf16f3a717c3423af3f5fe277bf52babb4fc91696e41,4da9f0,4dabf0,4da7f0,6ca,40b5d8,20,50,5432d0,5432f8,c8
2a18f232990a56a1482c91c6f31930fd911f85afcad5428d176a4c84aeb0a301,4d8b70,4d8d70,4d8970,6ca,409698,20,50,5412d0,5412f8,c8
c36a8fac48690632731d56747cbbdce2453d3e5303a73896505d495f7678dff0,4d8b70,4d8d70,4d8970,6ca,409698,20,50,5412d0,5412f8,c8
519c3b6c4db7d4d2f64744b8c81353d679835bc3d0f37bbdae3a7dd40882ad44,505fa0,505ba0,505da0,6fa,434bf8,20,60,574390,5743b8,c8
bc9611210344d4a56bd19fdf80dc5ebe0111ffcdc08b2a82c2547a6593fea3f0,503fe0,503be0,503de0,6fa,432c38,20,60,572390,5723b8,c8
1683d43c4dbd089201d31074c18cece3bc3bd534bff8ddf64d64c24c1d246005,503fa0,503ba0,503da0,6fa,432c18,20,60,572390,5723b8,c8
8779dfed3042625a748dc6705edb8c4d65683cdeefbaaae89121d031cb231bf7,503fa0,503ba0,503da0,6fa,432bf8,20,60,572390,5723b8,c8
dbcd8a80f53906780389970772c0b6c094d81c27d23cf934db564e7f3cb57055,500de0,5009e0,500be0,6fa,42fa48,20,50,56f390,56f3b8,c8
99895910cf67bd8a45e34ebabc05bf9f1cbdc4127541f7c68c320a21a7feefe4,5040a0,503ca0,503ea0,6fa,432c98,20,60,572390,5723b8,c8
22f08690a0e352557d1f073fc22bb9070e075c640b242f8007ae1a2098575d3f,5040a0,503ca0,503ea0,6fa,432c90,20,60,572390,5723b8,c8
d46a8ab22bb1267f46907fac4bc633681a52a023dfb7c82e37c53acab72d2160,5040a0,503ca0,503ea0,6fa,432c90,20,60,572390,5723b8,c8
e4acc215a3584deaed9bd5fa6e6a9a5adce56fe21efa149e736424c8e4f77c65,5040a0,503ca0,503ea0,6fa,432c90,20,60,572390,5723b8,c8
b80f408111c090c34be064b29cf00f839a7249eecb84a434b866a8b6d855965b,5040a0,503ca0,503ea0,6fa,432c90,20,60,572390,5723b8,c8
e2f120ca0c36c8b7a5f5dbeda74a822a53de495e29485f8417378ae99e220720,503b60,503d60,503960,6fa,432bf8,20,60,572390,5723b8,c8
cd1d217677273db6877f56188e9314999305266b248440ba7b14887dd1f30dff,503da0,5039a0,503ba0,6fa,432c38,20,60,572390,5723b8,c8
31238fc7235b76b0202e67560e7fc3b12db55d512af3da2f732785da24d85895,503da0,5039a0,503ba0,6fa,432c38,20,60,572390,5723b8,c8
205f4d5b9a68c60f4dc18b80472b7299e2e727d5a52f40072e74f54c6e54bc81,5040a0,503ca0,503ea0,6fa,432c90,20,60,572390,5723b8,c8
4eaa39083c2d1fa4691932186d936f128398b47fdcc5363531476540d760fd07,503de0,5039e0,503be0,6fa,432c38,20,60,572390,5723b8,c8
